num,Country,odds,probs
1,argentina,9,10.9
2,australia,300,0
3,belgium,11,3.8
4,brazil,4,14.2
5,colombia,40,2.5
6,costa rica,500,0
7,croatia,33,1.8
8,denmark,100,1.2
9,egypt,150,1.3
10,england,18,1.9
11,france,6.5,10.5
12,germany,4.5,11.4
13,iceland,200,1
14,iran,500,0
15,japan,300,0
16,korea,750,0
17,mexico,100,1.7
18,morocco,500,0.5
19,nigeria,200,0
20,panama,1000,0
21,peru,200,0
22,poland,50,1.5
23,portugal,25,3.3
24,russia,40,1.7
25,saudi arabia,1000,0
26,senegal,200,0
27,serbia,200,0
28,spain,6,9.3
29,sweden,150,1.8
30,switzerland,100,1.4
31,tunisia,750,0
32,uruguay,33,3
